ID,group,brsi_all,pre_mood,post_mood,diff_mood,pre_ci,pre_ci_all_1,pre_ci_all_2,pre_ci_all_3,pre_ci_all_4,post_ci_all,post_ci_all_1,post_ci_all_2,post_ci_all_3,post_ci_all_4,diff_ci
17,2,0,0.705729166666667,0.708181818181818,0.0024526515151515,0.75,2,0,0,1,0.75,1,0,0,2,0
18,2,0,0.603993058204651,0.728181818181818,0.124188759977167,1,2,0,0,2,1,2,0,0,2,0
19,2,0,0.502951383590698,0.552727272727273,0.0497758891365745,0,0,0,0,0,0,0,0,0,0,0
20,1,3,0.294097216924032,0.136363636363636,-0.157733580560395,0.75,1,0,1,1,3.25,3,3,4,3,2.5
21,2,0,0.600048804294778,0.71,0.109951195705222,0.75,1,1,1,0,0.25,1,0,0,0,-0.5
22,2,0,0.602992345163535,0.4875,-0.115492345163535,1.5,1,2,2,1,0.25,1,0,0,0,-1.25
23,1,2,0.505235602094241,0.396363636363636,-0.108871965730604,1,1,1,1,1,2,2,2,2,2,1
24,1,2,0.68125,0.556363636363636,-0.124886363636364,0,0,0,0,0,1.25,0,2,2,1,1.25
25,1,1,0.787457296242069,0.82282827203924,0.0353709757971707,0.25,1,0,0,0,0.75,2,0,0,1,0.5
26,2,0,0.6015625,0.75,0.1484375,0,0,0,0,0,0,0,0,0,0,0
27,2,0,0.398412698412698,0.483636363636364,0.0852236652236653,1.75,3,0,0,4,0.5,0,0,0,2,-1.25
28,2,0,0.599305555555556,0.795454545454545,0.19614898989899,1.75,2,1,1,3,1.25,1,1,1,2,-0.5
29,1,2,0.664814814814815,0.474545454545455,-0.19026936026936,2.75,4,2,2,3,3.5,4,4,2,4,0.75
30,2,1,0.705466081015129,0.603636363636364,-0.101829717378766,0.75,2,0,0,1,1.5,2,1,1,2,0.75
31,1,2,0.600925925925926,0.238181818181818,-0.362744107744108,2.5,3,2,3,2,3.75,4,4,4,3,1.25
32,2,0,0.597382190963985,0.735454545454545,0.138072354490561,2,3,2,2,1,1.5,2,1,2,1,-0.5
33,2,0,0.658333328035143,0.672727272727273,0.01439394469213,0.25,0,0,0,1,0.25,0,0,0,1,0
34,1,2,0.594192288921425,0.487272727272727,-0.106919561648698,0.25,1,0,0,0,1,1,0,2,1,0.75
35,2,0,0.469618055555556,0.585454545454545,0.11583648989899,0,0,0,0,0,1,1,1,1,1,1
36,1,2,0.503086419753086,0.260909090909091,-0.242177328843996,2.75,4,1,2,4,3.75,4,4,3,4,1
37,2,1,0.2109375,0.469090909090909,0.258153409090909,1.75,2,1,2,2,0.75,1,0,1,1,-1
38,2,0,0.419618050257365,0.49,0.0703819497426351,2,3,2,2,1,2.25,3,2,2,2,0.25
39,1,2,0.798080279232112,0.0781818181818182,-0.719898461050293,2.25,4,1,1,3,3.75,4,4,4,3,1.5
